iter	Passed	Remaining
704	11710	21511
705	11725	21490
706	11740	21471
707	11754	21449
708	11769	21430
709	11783	21409
710	11797	21388
711	11812	21369
712	11821	21337
713	11837	21320
714	11852	21301
715	11867	21281
716	11882	21262
717	11898	21245
718	11915	21228
719	11938	21224
720	11952	21203
721	11968	21184
722	11982	21163
723	11996	21143
724	12010	21121
725	12019	21091
726	12033	21071
727	12049	21052
728	12063	21032
729	12078	21013
730	12093	20994
731	12109	20976
732	12125	20958
733	12139	20938
734	12154	20919
735	12166	20894
736	12182	20876
737	12197	20857
738	12211	20837
739	12226	20817
740	12240	20797
741	12255	20778
742	12270	20758
743	12284	20739
744	12299	20719
745	12314	20700
746	12330	20682
747	12345	20663
748	12357	20639
749	12373	20621
750	12387	20602
751	12403	20584
752	12419	20566
753	12436	20552
754	12453	20535
755	12470	20519
756	12486	20502
757	12503	20487
758	12519	20469
759	12535	20453
760	12559	20448
761	12575	20431
762	12590	20412
763	12606	20394
764	12621	20376
765	12636	20357
766	12652	20339
767	12667	20321
768	12684	20304
769	12704	20294
770	12719	20275
771	12740	20266
772	12755	20247
773	12770	20228
774	12785	20210
775	12801	20191
776	12817	20174
777	12831	20154
778	12847	20136
779	12879	20144
780	12895	20127
781	12910	20108
782	12925	20090
783	12940	20071
784	12956	20053
785	12972	20036
786	12982	20010
787	12997	19990
788	13011	19971
789	13026	19952
790	13041	19932
791	13068	19932
792	13084	19915
793	13099	19896
794	13115	19879
795	13129	19858
796	13146	19842
797	13160	19823
798	13175	19804
799	13191	19786
800	13205	19767
801	13221	19749
802	13235	19729
803	13249	19708
804	13272	19703
805	13288	19685
806	13304	19667
807	13318	19648
808	13335	19631
809	13365	19635
810	13380	19616
811	13395	19597
812	13410	19579
813	13424	19559
814	13439	19541
815	13454	19521
816	13468	19502
817	13483	19483
818	13498	19464
819	13514	19447
820	13528	19428
821	13543	19409
822	13559	19391
823	13574	19373
824	13589	19354
825	13605	19337
826	13620	19318
827	13635	19300
828	13649	19280
829	13665	19263
830	13682	19247
831	13697	19229
832	13714	19213
833	13729	19194
834	13744	19177
835	13772	19176
836	13787	19156
837	13801	19137
838	13815	19118
